day,count
2020-01-30,1183
2020-01-29,1126
2020-01-28,1141
2020-01-27,1105
2020-01-26,1139
2020-01-25,1067
2020-01-24,1148
2020-01-23,1127
2020-01-22,1133
2020-01-21,1128
2020-01-20,1122
2020-01-19,1154
2020-01-18,1106
2020-01-17,1135
2020-01-16,1066
2020-01-15,1155
2020-01-14,1098
2020-01-13,1126
2020-01-12,1141
2020-01-11,1091
2020-01-10,1112
2020-01-09,1115
2020-01-08,1122
2020-01-07,1059
2020-01-06,1152
2020-01-05,1107
2020-01-04,1096
2020-01-03,1057
2020-01-02,1078
2020-01-01,1044
